Nombre,Marca,Precio,Supermercado,URL,Fecha,Hora,unidad,precio_unidad,Categoria,Subcategoria,Estado
Loción corporal intensiva piel extra seca Dove bote 400 ml,Marca no disponible,4.29 €,Dia,https://www.dia.es/perfumeria-higiene-salud/hidratacion-corporal/p/100919,2024-06-03,23:17:40,100 ML.,"1,07 €","Perfumería, higiene, salud",Hidratación corporal,Añadir
Cepillo de dientes medio Bonté Everyday de Dia blister 2 unidades,Sibiguay S.L.,1.99 €,Dia,https://www.dia.es/perfumeria-higiene-salud/cuidado-bucal/p/102116,2024-06-03,23:17:40,UNIDAD,"1,00 €","Perfumería, higiene, salud",Cuidado bucal,Agotado
Ginebra London dry Tanqueray botella 70 cl,Diageo España S.A.,15.99 €,Dia,https://www.dia.es/cervezas-vinos-y-bebidas-con-alcohol/ginebra-y-vodka/p/102932,2024-06-03,23:17:40,LITRO,"22,84 €","Cervezas, vinos y bebidas con alcohol",Ginebra y vodka,Añadir
Peskitos de merluza empanada Pescanova caja 400 g,Pescanova España S.L.U,3.85 €,Dia,https://www.dia.es/congelados/pescado-y-marisco/p/1043,2024-06-03,23:17:40,KILO,"9,63 €",Congelados,Pescado y marisco,Agotado
Colas de langostino al ajillo Aguinamar bolsa 105 g,Angulas Aguinaga S.A.,3.19 €,Dia,https://www.dia.es/pescados-mariscos-y-ahumados/ahumados-salazones-y-preparados/p/105460,2024-06-03,23:17:40,KILO,"30,38 €","Pescados, mariscos y ahumados","Ahumados, salazones y preparados",Añadir
Gula del norte refrigeradas La gula del Norte bandeja 180 g,Angulas Aguinaga,5.65 €,Dia,https://www.dia.es/pescados-mariscos-y-ahumados/gulas-y-surimi/p/107047,2024-06-03,23:17:41,KILO,"31,39 €","Pescados, mariscos y ahumados",Gulas y surimi,Añadir
Edulcorante Dia bote 50 g,"Cotrading, S.L",1.11 €,Dia,https://www.dia.es/azucar-chocolates-y-caramelos/azucar-y-edulcorantes/p/108416,2024-06-03,23:17:41,KILO,"22,20 €","Azúcar, chocolates y caramelos",Azúcar y edulcorantes,Añadir
Galletas con pepitas de chocolate Galleteca de Dia bolsa 225 g,"Arluy, S.L.U",1.10 €,Dia,https://www.dia.es/galletas-bollos-y-cereales/galletas/p/110671,2024-06-03,23:17:41,KILO,"4,89 €","Galletas, bollos y cereales",Galletas,Añadir
Leche semidesnatada calcio Pascual brik 1 l,"Calidad Pascual, SAU.",1.73 €,Dia,https://www.dia.es/leche-huevos-y-mantequilla/leche/p/112295,2024-06-03,23:17:41,LITRO,"1,73 €","Leche, huevos y mantequilla",Leche,Añadir
Galletas de desayuno con cereales y chocolate Belvita caja 300 g,"Mondelez España Commercial, S.L.",2.35 €,Dia,https://www.dia.es/galletas-bollos-y-cereales/galletas/p/113654,2024-06-03,23:17:41,KILO,"7,83 €","Galletas, bollos y cereales",Galletas,Añadir
Manzana roja bolsa 1 Kg,Marca no disponible,2.29 €,Dia,https://www.dia.es/frutas/manzanas/p/11466,2024-06-03,23:17:42,KILO,"2,29 €",Frutas,Manzanas,Añadir
Mejillones en escabeche 13/18 piezas Calvo lata 69 g,Calvo Distribución Alimentaria SLU,2.35 €,Dia,https://www.dia.es/conservas-caldos-y-cremas/mejillones/p/1158,2024-06-03,23:17:42,KILO,"34,06 €","Conservas, caldos y cremas",Mejillones,Añadir
Queso fundido light en porciones Dia Láctea caja 250 g,"Quesería Menorquina, S.L.",1.49 €,Dia,https://www.dia.es/charcuteria-y-quesos/quesos-fundidos-y-cremas/p/116857,2024-06-03,23:17:42,KILO,"5,96 €",Charcutería y quesos,Quesos fundidos y cremas,Añadir
Néctar de melocotón light Zumosfera de Dia brik 1.218 l,Refresco Iberia S.AU.,1.49 €,Dia,https://www.dia.es/agua-refrescos-y-zumos/zumos/p/118161,2024-06-03,23:17:42,LITRO,"1,22 €","Agua, refrescos y zumos",Zumos,Añadir
Hogaza de pan nueve cereales y semillas Recondo caja 240 g,Brioche Pasquier Recondo S.L,2.39 €,Dia,https://www.dia.es/panes-harinas-y-masas/picos-y-panes-tostados/p/119468,2024-06-03,23:17:42,KILO,"9,96 €","Panes, harinas y masas",Picos y panes tostados,Añadir
Atún en tomate Mari Marinera de Dia lata 3 x 52 g,"Frinsa del Noroeste, S.A",2.10 €,Dia,https://www.dia.es/conservas-caldos-y-cremas/atun-bonito-y-caballa/p/119959,2024-06-03,23:17:42,KILO,"13,46 €","Conservas, caldos y cremas","Atún, bonito y caballa",Añadir
Alubias pintas cocidas Legumbres La Asturiana frasco 400 g,"Selección de Productos Leoneses,SA",1.75 €,Dia,https://www.dia.es/arroz-pastas-y-legumbres/alubias/p/120828,2024-06-03,23:17:43,KILO,"4,38 €","Arroz, pastas y legumbres",Alubias,Añadir
Patata malla 3 Kg,Marca no disponible,4.99 €,Dia,https://www.dia.es/verduras/patatas-y-zanahorias/p/12297,2024-06-03,23:17:43,KILO,"1,66 €",Verduras,Patatas y zanahorias,Agotado
Bebida refrescante de limón zero Aquarius botella 1.5 l,"CC European Partners Iberia, S.L.U.",1.99 €,Dia,https://www.dia.es/agua-refrescos-y-zumos/bebidas-isotonicas/p/124654,2024-06-03,23:17:43,LITRO,"1,33 €","Agua, refrescos y zumos",Bebidas isotónicas,Añadir
Nombre no disponible,Marca no disponible,Precio no disponible,Dia,https://www.dia.es/charcuteria-y-quesos/queso-curado-semicurado-y-tierno/p/12563,2024-06-03,23:17:43,Unidad no disponible,Precio por unidad no disponible,Categoría no disponible,Subcategoría no disponible,Estado no disponible
